Most Frequent Cooking Method Per Device ,,,,
,,,,
Device Name,Most Frequent Cooking Method,,Most Frequent Cooking Method Per Device,
EMO-003,Boiling,,Cooking Method,Number of Times
EMO-007,Boiling,,Boiling,53
EMO-013,Boiling,,Chemsha,8
EMO-014,Boiling,,Karanga,9
EMO-017,Boiling,,Sauteing,27
EMO-019,Boiling,,Devices Not Used,7
EMO-021,Boiling,,Total,104
EMO-022,Boiling,,,
EMO-023,Boiling,,,
EMO-024,Boiling,,,
EMO-025,Boiling,,,
EMO-029,Boiling,,,
EMO-030,Boiling,,,
EMO-031,Boiling,,,
EMO-032,Boiling,,,
EMO-034,Boiling,,,
EMO-035,Boiling,,,
EMO-036,Boiling,,,
EMO-038,Boiling,,,
EMO-040,Boiling,,,
EMO-041,Boiling,,,
EMO-043,Boiling,,,
EMO-044,Boiling,,,
EMO-045,Boiling,,,
EMO-046,Boiling,,,
EMO-051,Boiling,,,
EMO-055,Boiling,,,
EMO-056,Boiling,,,
EMO-058,Boiling,,,
EMO-059,Boiling,,,
EMO-061,Boiling,,,
EMO-062,Boiling,,,
EMO-063,Boiling,,,
EMO-065,Boiling,,,
EMO-070,Boiling,,,
EMO-075,Boiling,,,
EMO-077,Boiling,,,
EMO-078,Boiling,,,
EMO-080,Boiling,,,
EMO-083,Boiling,,,
EMO-086,Boiling,,,
EMO-088,Boiling,,,
EMO-090,Boiling,,,
EMO-092,Boiling,,,
EMO-096,Boiling,,,
EMO-097,Boiling,,,
EMO-098,Boiling,,,
EMO-099,Boiling,,,
EMO-100,Boiling,,,
EMO-101,Boiling,,,
EMO-102,Boiling,,,
EMO-103,Boiling,,,
EMO-104,Boiling,,,
EMO-004,Chemsha,,,
EMO-011,Chemsha,,,
EMO-028,Chemsha,,,
EMO-052,Chemsha,,,
EMO-054,Chemsha,,,
EMO-064,Chemsha,,,
EMO-072,Chemsha,,,
EMO-091,Chemsha,,,
EMO-009,Karanga,,,
EMO-033,Karanga,,,
EMO-048,Karanga,,,
EMO-057,Karanga,,,
EMO-060,Karanga,,,
EMO-076,Karanga,,,
EMO-082,Karanga,,,
EMO-085,Karanga,,,
EMO-095,Karanga,,,
EMO-008,Sauteing,,,
EMO-010,Sauteing,,,
EMO-012,Sauteing,,,
EMO-015,Sauteing,,,
EMO-016,Sauteing,,,
EMO-018,Sauteing,,,
EMO-026,Sauteing,,,
EMO-037,Sauteing,,,
EMO-039,Sauteing,,,
EMO-042,Sauteing,,,
EMO-049,Sauteing,,,
EMO-050,Sauteing,,,
EMO-053,Sauteing,,,
EMO-066,Sauteing,,,
EMO-067,Sauteing,,,
EMO-068,Sauteing,,,
EMO-069,Sauteing,,,
EMO-071,Sauteing,,,
EMO-073,Sauteing,,,
EMO-074,Sauteing,,,
EMO-079,Sauteing,,,
EMO-081,Sauteing,,,
EMO-084,Sauteing,,,
EMO-087,Sauteing,,,
EMO-089,Sauteing,,,
EMO-093,Sauteing,,,
EMO-094,Sauteing,,,
